"Date","Price","Open","High","Low","Vol.","Change %"
"26/03/2021","5.70","5.70","5.70","5.60","10.00K","0.00%"
"25/03/2021","5.70","5.70","5.70","5.70","0.00K","0.00%"
"24/03/2021","5.70","5.70","5.70","5.70","0.00K","0.00%"
"23/03/2021","5.70","5.70","5.70","5.70","0.25K","0.00%"
"22/03/2021","5.70","5.70","5.70","5.70","18.18K","0.00%"
"19/03/2021","5.70","5.70","5.70","5.67","42.26K","0.00%"
"18/03/2021","5.70","5.80","5.80","5.55","184.43K","-1.21%"
"17/03/2021","5.77","5.80","5.80","5.77","2.33K","-0.86%"
"16/03/2021","5.82","6.20","6.20","5.82","10.07K","-4.43%"
"15/03/2021","6.09","6.09","6.09","6.09","1.50K","1.50%"
"11/03/2021","6.00","6.15","6.40","6.00","9.58K","0.00%"
"10/03/2021","6.00","6.40","6.40","6.00","2.50K","-9.09%"
"09/03/2021","6.60","6.85","6.85","6.60","2.70K","-5.71%"
"05/03/2021","7.00","7.00","7.00","7.00","0.57K","2.19%"
"04/03/2021","6.85","7.00","7.00","6.85","1.22K","-3.52%"
"02/03/2021","7.10","7.35","7.35","7.10","1.39K","-2.74%"
"01/03/2021","7.30","7.30","7.55","7.30","2.29K","-0.82%"
"26/02/2021","7.36","7.25","7.36","7.25","3.27K","5.14%"
"25/02/2021","7.00","7.25","7.25","7.00","2.75K","-3.31%"
"24/02/2021","7.24","7.00","7.24","7.00","0.72K","5.23%"
"23/02/2021","6.88","7.10","7.10","6.88","1.25K","-1.71%"
"19/02/2021","7.00","7.25","7.25","7.00","2.13K","-6.04%"
"18/02/2021","7.45","7.25","7.45","7.25","0.28K","2.76%"
"17/02/2021","7.25","7.20","7.25","7.20","0.04K","3.57%"
"16/02/2021","7.00","6.80","7.00","6.70","0.55K","6.06%"
"15/02/2021","6.60","6.00","6.60","6.00","1.87K","10.00%"
"12/02/2021","6.00","5.90","6.00","5.90","0.17K","1.69%"
