"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2025","2.85","2.90","2.90","2.85","9.81K","0.00%"
"28/02/2025","2.85","2.94","2.94","2.85","5.81K","0.00%"
"27/02/2025","2.85","2.90","2.94","2.85","2.33K","-1.72%"
"26/02/2025","2.90","2.94","2.94","2.86","0.65K","-1.02%"
"25/02/2025","2.93","2.91","2.93","2.85","1.49K","1.03%"
"24/02/2025","2.90","2.80","2.93","2.78","60.03K","-1.36%"
"21/02/2025","2.94","2.93","2.98","2.90","17.64K","1.38%"
"20/02/2025","2.90","2.90","2.93","2.83","16.24K","1.05%"
"19/02/2025","2.87","2.90","2.90","2.85","1.45K","1.77%"
"18/02/2025","2.82","2.90","2.90","2.82","2.12K","-1.05%"
"17/02/2025","2.85","2.91","2.91","2.85","2.35K","-2.06%"
"14/02/2025","2.91","2.95","2.95","2.86","0.44K","-1.36%"
"13/02/2025","2.95","2.85","2.95","2.85","16.52K","3.51%"
"12/02/2025","2.85","2.78","2.85","2.74","9.57K","4.01%"
"11/02/2025","2.74","2.78","2.78","2.74","0.96K","-1.44%"
"10/02/2025","2.78","2.74","2.78","2.74","0.81K","1.46%"
"07/02/2025","2.74","2.79","2.79","2.70","8.53K","-1.79%"
"06/02/2025","2.79","2.72","2.79","2.72","10.60K","4.10%"
"05/02/2025","2.68","2.71","2.72","2.68","7.85K","-0.74%"
"04/02/2025","2.70","2.67","2.70","2.67","11.27K","0.75%"
"03/02/2025","2.68","2.70","2.70","2.62","5.19K","-0.74%"
"31/01/2025","2.70","2.73","2.73","2.64","4.78K","0.00%"
"30/01/2025","2.70","2.65","2.76","2.65","4.23K","1.89%"
"29/01/2025","2.65","2.58","2.65","2.55","11.58K","3.11%"
"28/01/2025","2.57","2.57","2.57","2.57","1.00K","-1.15%"
"27/01/2025","2.60","2.61","2.61","2.47","12.03K","-0.38%"
"24/01/2025","2.61","2.64","2.64","2.53","7.98K","2.35%"
"23/01/2025","2.55","2.60","2.63","2.53","5.33K","-0.39%"
"22/01/2025","2.56","2.56","2.56","2.56","0.51K","0.00%"
"21/01/2025","2.56","2.61","2.61","2.56","1.57K","0.00%"
"20/01/2025","2.56","2.67","2.67","2.56","7.41K","-4.12%"
"17/01/2025","2.67","2.43","2.67","2.43","27.35K","10.33%"
"16/01/2025","2.42","2.42","2.42","2.38","0.32K","0.00%"
"15/01/2025","2.42","2.44","2.44","2.39","1.31K","-0.82%"
"14/01/2025","2.44","2.38","2.46","2.35","17.63K","4.72%"
"13/01/2025","2.33","2.25","2.33","2.25","9.23K","4.48%"
"10/01/2025","2.23","2.25","2.26","2.22","4.63K","-0.45%"
"09/01/2025","2.24","2.24","2.27","2.20","6.02K","0.00%"
"08/01/2025","2.24","2.29","2.29","2.24","6.71K","-1.32%"
"07/01/2025","2.27","2.29","2.29","2.27","3.10K","-1.30%"
"03/01/2025","2.30","2.33","2.35","2.27","8.09K","-1.29%"
"02/01/2025","2.33","2.33","2.34","2.24","15.87K","4.02%"
"30/12/2024","2.24","2.15","2.27","2.12","19.65K","4.67%"
"27/12/2024","2.14","2.09","2.14","2.09","3.03K","2.39%"
"23/12/2024","2.09","2.14","2.16","2.08","16.76K","-2.34%"
"20/12/2024","2.14","2.12","2.19","2.06","30.24K","0.94%"
"19/12/2024","2.12","2.15","2.15","2.06","10.62K","2.42%"
"18/12/2024","2.07","2.25","2.25","2.07","68.37K","-8.00%"
"17/12/2024","2.25","2.27","2.27","2.22","4.16K","-0.88%"
"16/12/2024","2.27","2.25","2.28","2.25","8.40K","0.89%"
"13/12/2024","2.25","2.35","2.35","2.22","18.80K","-4.26%"
"12/12/2024","2.35","2.34","2.35","2.28","5.31K","1.73%"
"11/12/2024","2.31","2.37","2.37","2.31","5.56K","-2.53%"
"10/12/2024","2.37","2.29","2.39","2.29","16.70K","2.16%"
"09/12/2024","2.32","2.39","2.39","2.27","8.42K","-3.33%"
"06/12/2024","2.40","2.40","2.40","2.34","0.66K","0.00%"
"05/12/2024","2.40","2.40","2.40","2.40","0.56K","-0.41%"
"04/12/2024","2.41","2.39","2.41","2.32","7.46K","2.12%"
"03/12/2024","2.36","2.40","2.40","2.36","2.41K","-0.42%"
"02/12/2024","2.37","2.37","2.39","2.34","10.14K","1.28%"
"29/11/2024","2.34","2.38","2.39","2.34","3.79K","-0.43%"
"28/11/2024","2.35","2.36","2.36","2.34","5.05K","-0.42%"
"27/11/2024","2.36","2.35","2.36","2.34","0.36K","0.43%"
"26/11/2024","2.35","2.39","2.39","2.35","9.27K","-1.67%"
"25/11/2024","2.39","2.41","2.41","2.39","6.57K","-0.42%"
"22/11/2024","2.40","2.43","2.43","2.40","2.45K","-1.23%"
"21/11/2024","2.43","2.43","2.43","2.41","2.68K","0.00%"
"20/11/2024","2.43","2.44","2.44","2.43","0.54K","-0.41%"
"19/11/2024","2.44","2.47","2.48","2.41","18.82K","-0.41%"
