"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2022","0.5300","0.5300","0.5300","0.5300","0.03K","0.00%"
"01/07/2022","0.5300","0.5300","0.5300","0.5300","0.03K","0.00%"
"30/06/2022","0.5300","0.5300","0.5300","0.5300","0.03K","3.92%"
"29/06/2022","0.5100","0.5100","0.5100","0.5100","0.00K","2.41%"
"28/06/2022","0.4980","0.4960","0.4980","0.4960","1.10K","0.40%"
"27/06/2022","0.4960","0.4740","0.4960","0.4500","8.04K","5.08%"
"24/06/2022","0.4720","0.4720","0.4720","0.4720","0.01K","0.43%"
"23/06/2022","0.4700","0.5050","0.5050","0.4600","6.51K","-4.08%"
"22/06/2022","0.4900","0.5300","0.5300","0.4900","0.28K","-2.00%"
"21/06/2022","0.5000","0.4800","0.5050","0.4800","10.03K","4.17%"
"20/06/2022","0.4800","0.4800","0.4800","0.4800","0.12K","-4.00%"
"17/06/2022","0.5000","0.5000","0.5000","0.5000","0.19K","-5.66%"
"15/06/2022","0.5300","0.5300","0.5300","0.5300","0.03K","6.00%"
"14/06/2022","0.5000","0.4960","0.5000","0.4900","3.21K","0.40%"
"13/06/2022","0.4980","0.4980","0.4980","0.4980","0.03K","0.00%"
"10/06/2022","0.4980","0.5150","0.5150","0.4980","4.86K","1.63%"
"09/06/2022","0.4900","0.5300","0.5300","0.4860","3.03K","-5.77%"
"08/06/2022","0.5200","0.5400","0.5400","0.4980","2.43K","-3.70%"
"07/06/2022","0.5400","0.5400","0.5400","0.5400","1.03K","0.93%"
"06/06/2022","0.5350","0.5400","0.5400","0.5350","5.03K","0.00%"
"03/06/2022","0.5350","0.5400","0.5400","0.5050","1.62K","0.00%"
"02/06/2022","0.5350","0.5250","0.5350","0.5250","17.16K","4.90%"
"01/06/2022","0.5100","0.4900","0.5250","0.4640","18.60K","4.08%"
"31/05/2022","0.4900","0.4880","0.4900","0.4520","39.72K","0.41%"
"30/05/2022","0.4880","0.5350","0.5350","0.4640","56.51K","-8.79%"
"27/05/2022","0.5350","0.5700","0.5700","0.4900","127.39K","-10.83%"
"26/05/2022","0.6000","0.6000","0.6000","0.5750","6.42K","0.00%"
"25/05/2022","0.6000","0.6300","0.6300","0.6000","4.39K","0.00%"
"24/05/2022","0.6000","0.6000","0.6000","0.6000","0.05K","0.00%"
"23/05/2022","0.6000","0.6300","0.6300","0.5900","11.21K","-4.00%"
"20/05/2022","0.6250","0.6250","0.6250","0.6250","0.97K","-0.79%"
"19/05/2022","0.6300","0.6250","0.6300","0.6000","7.67K","0.00%"
"18/05/2022","0.6300","0.6300","0.6300","0.6300","0.03K","0.00%"
"17/05/2022","0.6300","0.6050","0.6300","0.5700","22.61K","4.13%"
"16/05/2022","0.6050","0.6100","0.6100","0.5700","12.72K","0.83%"
"13/05/2022","0.6000","0.5800","0.6000","0.5800","14.29K","2.56%"
"12/05/2022","0.5850","0.6350","0.6350","0.5600","9.93K","-4.10%"
"11/05/2022","0.6100","0.6500","0.6500","0.6000","45.60K","-2.40%"
"10/05/2022","0.6250","0.6500","0.6500","0.5950","6.44K","-2.34%"
"09/05/2022","0.6400","0.6500","0.6500","0.6100","6.32K","0.00%"
"06/05/2022","0.6400","0.6650","0.6700","0.6000","82.11K","-7.91%"
"05/05/2022","0.6950","0.7700","0.7800","0.6400","157.13K","-7.33%"
"04/05/2022","0.7500","0.6900","0.9000","0.6800","599.83K","7.14%"
"02/05/2022","0.7000","0.5950","0.7000","0.5950","21.76K","22.81%"
"29/04/2022","0.5700","0.5650","0.5700","0.5650","10.17K","0.88%"
"28/04/2022","0.5650","0.5650","0.5650","0.5650","2.26K","8.65%"
"27/04/2022","0.5200","0.5200","0.5200","0.5200","0.34K","-4.59%"
"26/04/2022","0.5450","0.5450","0.5450","0.5450","1.58K","-0.91%"
"25/04/2022","0.5500","0.5200","0.5500","0.5200","2.67K","-2.65%"
"22/04/2022","0.5650","0.5650","0.5650","0.5650","21.00K","8.65%"
"21/04/2022","0.5200","0.5600","0.5600","0.5200","23.77K","-14.75%"
"20/04/2022","0.6100","0.6300","0.6300","0.6100","14.52K","-3.17%"
"19/04/2022","0.6300","0.6300","0.6300","0.6300","0.08K","0.00%"
"14/04/2022","0.6300","0.6300","0.6300","0.6300","0.10K","0.00%"
"13/04/2022","0.6300","0.6300","0.6300","0.6300","2.00K","21.15%"
"12/04/2022","0.5200","0.5200","0.5200","0.5200","2.50K","23.81%"
"11/04/2022","0.4200","0.4200","0.4200","0.4200","21.28K","-31.71%"
"06/04/2022","0.6150","0.6150","0.6150","0.6150","2.11K","0.00%"
"05/04/2022","0.6150","0.6150","0.6150","0.6150","3.00K","-12.14%"
"01/04/2022","0.7000","0.7000","0.7000","0.7000","3.33K","0.00%"
"31/03/2022","0.7000","0.7000","0.7000","0.7000","33.48K","2.94%"
"30/03/2022","0.6800","0.6800","0.6800","0.6800","26.34K","13.33%"
"29/03/2022","0.6000","0.6000","0.6000","0.6000","14.60K","5.26%"
