"Date","Price","Open","High","Low","Vol.","Change %"
"29/01/2021","3.160","2.900","3.260","2.900","11.22K","10.49%"
"28/01/2021","2.860","3.060","3.060","2.800","29.50K","-8.33%"
"27/01/2021","3.120","3.120","3.120","3.120","5.51K","0.65%"
"26/01/2021","3.100","3.220","3.520","3.020","20.31K","-3.73%"
"25/01/2021","3.220","3.180","3.220","3.020","7.88K","1.26%"
"20/01/2021","3.180","3.180","3.180","3.180","0.50K","0.00%"
"19/01/2021","3.180","3.180","3.180","3.180","1.00K","3.25%"
"18/01/2021","3.080","3.120","3.300","3.060","8.42K","-1.28%"
"15/01/2021","3.120","3.120","3.120","3.020","1.01K","-0.64%"
"14/01/2021","3.140","3.040","3.140","3.000","3.14K","0.00%"
"13/01/2021","3.140","3.140","3.140","3.000","6.31K","0.00%"
"12/01/2021","3.140","3.120","3.140","3.000","5.94K","0.64%"
"11/01/2021","3.120","2.800","3.120","2.800","31.64K","6.85%"
"07/01/2021","2.920","2.920","2.920","2.920","1.50K","0.00%"
"05/01/2021","2.920","2.800","2.920","2.800","5.10K","4.29%"
"04/01/2021","2.800","2.680","2.800","2.680","3.58K","1.45%"
"30/12/2020","2.760","2.760","2.760","2.680","0.59K","0.00%"
"29/12/2020","2.760","2.760","2.760","2.760","2.72K","1.47%"
"28/12/2020","2.720","2.760","2.760","2.720","1.77K","-1.45%"
"22/12/2020","2.760","2.740","2.760","2.720","0.59K","0.00%"
"21/12/2020","2.760","2.760","2.760","2.720","3.00K","-3.50%"
"18/12/2020","2.860","2.860","2.860","2.860","3.15K","-3.38%"
"17/12/2020","2.960","2.860","2.960","2.860","1.89K","0.00%"
"15/12/2020","2.960","2.900","3.000","2.880","91.77K","-1.33%"
"14/12/2020","3.000","2.920","3.000","2.900","3.56K","0.00%"
"09/12/2020","3.000","2.920","3.000","2.920","1.51K","0.00%"
"08/12/2020","3.000","2.920","3.000","2.920","0.21K","0.00%"
"07/12/2020","3.000","2.920","3.000","2.920","0.62K","0.00%"
"04/12/2020","3.000","3.000","3.000","2.920","8.16K","0.00%"
"03/12/2020","3.000","3.000","3.060","3.000","15.55K","0.00%"
"02/12/2020","3.000","2.880","3.000","2.880","3.78K","0.00%"
"01/12/2020","3.000","3.000","3.260","2.900","7.00K","0.00%"
"30/11/2020","3.000","2.980","3.260","2.980","7.53K","0.67%"
"27/11/2020","2.980","2.980","2.980","2.980","0.10K","0.00%"
"23/11/2020","2.980","3.020","3.120","2.900","39.67K","0.00%"
"20/11/2020","2.980","2.980","3.200","2.860","19.62K","0.68%"
"19/11/2020","2.960","2.680","3.100","2.500","21.01K","12.12%"
"18/11/2020","2.640","2.400","2.680","2.400","9.47K","5.60%"
"17/11/2020","2.500","2.500","2.500","2.500","0.10K","0.00%"
"13/11/2020","2.500","2.500","2.500","2.500","0.15K","0.00%"
"12/11/2020","2.500","2.500","2.500","2.500","0.20K","0.00%"
"10/11/2020","2.500","2.400","2.500","2.400","3.51K","4.17%"
"06/11/2020","2.400","2.400","2.400","2.400","0.60K","0.00%"
"05/11/2020","2.400","2.340","2.400","2.340","0.81K","0.00%"
"03/11/2020","2.400","2.320","2.480","2.320","4.65K","3.45%"
"02/11/2020","2.320","2.320","2.320","2.320","0.22K","2.65%"
"30/10/2020","2.260","2.260","2.260","2.260","0.50K","-8.87%"
"29/10/2020","2.480","2.280","2.480","2.280","4.45K","8.77%"
"28/10/2020","2.280","2.260","2.280","2.220","5.22K","-2.56%"
"27/10/2020","2.340","2.360","2.360","2.340","3.05K","-4.10%"
"26/10/2020","2.440","2.440","2.440","2.440","0.30K","0.00%"
