"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2017","18.00","18.00","18.00","17.95","1.00K","0.00%"
"09/10/2017","18.00","18.00","18.00","18.00","0.18K","0.00%"
"06/10/2017","18.00","18.00","18.00","17.95","0.40K","0.06%"
"05/10/2017","17.99","18.00","18.00","17.25","1.91K","2.22%"
"04/10/2017","17.60","17.60","17.60","17.60","0.43K","-2.22%"
"03/10/2017","18.00","18.46","18.46","18.00","1.45K","-2.49%"
"02/10/2017","18.46","17.65","18.89","17.00","10.08K","1.43%"
"29/09/2017","18.20","17.70","18.20","17.70","0.55K","0.00%"
"28/09/2017","18.20","18.15","18.20","18.10","0.30K","3.41%"
"27/09/2017","17.60","17.80","17.80","17.60","4.00K","-3.03%"
"26/09/2017","18.15","17.78","18.15","17.78","1.30K","2.08%"
"25/09/2017","17.78","17.76","17.80","17.76","0.54K","0.45%"
"22/09/2017","17.70","18.00","18.00","17.70","0.70K","0.57%"
"21/09/2017","17.60","17.60","17.60","17.60","0.70K","0.00%"
"20/09/2017","17.60","17.75","17.76","17.50","1.05K","-2.22%"
"19/09/2017","18.00","18.00","18.00","18.00","0.06K","1.69%"
"18/09/2017","17.70","18.37","18.37","17.70","0.16K","-3.65%"
"15/09/2017","18.37","18.89","18.89","18.00","0.55K","-2.75%"
"13/09/2017","18.89","18.25","18.89","18.25","0.35K","3.51%"
"12/09/2017","18.25","18.01","19.10","18.00","1.55K","-1.35%"
"11/09/2017","18.50","18.20","19.40","17.51","4.44K","-3.14%"
"08/09/2017","19.10","18.20","19.10","18.20","0.20K","0.00%"
"07/09/2017","19.10","19.80","19.80","18.22","1.31K","-3.54%"
"06/09/2017","19.80","19.80","19.80","19.20","0.86K","-1.00%"
"05/09/2017","20.00","19.50","20.20","19.50","1.65K","-1.96%"
"04/09/2017","20.40","20.35","20.40","19.70","1.06K","0.25%"
"01/09/2017","20.35","19.50","20.49","19.50","2.15K","3.30%"
"31/08/2017","19.70","20.00","20.00","19.22","3.23K","-1.50%"
"30/08/2017","20.00","20.50","20.50","20.00","1.08K","-3.47%"
"29/08/2017","20.72","19.50","21.00","19.49","8.09K","6.26%"
"28/08/2017","19.50","19.55","19.55","19.22","0.13K","-0.26%"
"25/08/2017","19.55","19.33","19.55","19.30","0.44K","-0.66%"
"24/08/2017","19.68","19.10","19.68","19.10","0.77K","-0.05%"
"23/08/2017","19.69","19.10","19.69","19.10","0.06K","-1.01%"
"22/08/2017","19.89","19.80","19.89","19.50","2.10K","0.00%"
"21/08/2017","19.89","19.00","19.97","18.99","2.36K","6.31%"
"18/08/2017","18.71","17.92","18.71","17.92","38.22K","1.91%"
"17/08/2017","18.36","17.85","18.36","17.85","1.25K","-0.22%"
"14/08/2017","18.40","17.85","18.40","17.85","0.52K","0.00%"
"11/08/2017","18.40","17.90","18.40","17.90","3.20K","-0.49%"
"10/08/2017","18.49","17.83","18.49","17.83","4.83K","3.64%"
"09/08/2017","17.84","17.39","17.84","17.39","6.25K","2.59%"
"08/08/2017","17.39","17.22","17.39","17.22","0.91K","-0.63%"
"07/08/2017","17.50","17.50","17.84","17.50","0.15K","-1.69%"
"04/08/2017","17.80","17.50","18.63","17.00","6.69K","-0.56%"
