"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2023","16.49","16.58","16.58","16.49","0.06K","-3.83%"
"30/06/2023","17.14","15.64","17.14","15.64","0.85K","10.91%"
"29/06/2023","15.46","16.77","16.77","15.17","0.52K","-8.33%"
"28/06/2023","16.86","16.95","17.61","16.86","0.40K","-1.64%"
"27/06/2023","17.14","17.14","17.14","17.14","0.04K","1.67%"
"26/06/2023","16.86","17.70","17.70","16.86","0.44K","-4.76%"
"23/06/2023","17.70","17.42","17.89","16.95","0.45K","-3.08%"
"22/06/2023","18.27","17.52","18.55","17.52","0.28K","5.41%"
"21/06/2023","17.33","17.42","18.08","17.33","0.37K","1.65%"
"20/06/2023","17.05","17.98","17.98","17.05","0.14K","-0.55%"
"19/06/2023","17.14","17.23","17.23","17.14","0.04K","0.00%"
"16/06/2023","17.14","17.42","17.42","17.14","0.17K","-3.68%"
"15/06/2023","17.80","18.17","18.17","17.61","0.22K","-3.06%"
"14/06/2023","18.36","17.98","18.36","16.86","0.60K","-1.01%"
"13/06/2023","18.55","18.55","18.64","18.55","0.43K","0.00%"
"12/06/2023","18.55","15.92","19.11","15.92","1.88K","16.47%"
"09/06/2023","15.92","15.92","16.49","15.92","0.04K","0.00%"
"07/06/2023","15.92","14.99","16.49","14.99","0.51K","6.25%"
"06/06/2023","14.99","14.61","15.27","14.61","0.66K","-0.62%"
"05/06/2023","15.08","15.74","15.74","15.08","1.18K","-1.83%"
"02/06/2023","15.36","14.71","15.46","14.42","1.20K","2.50%"
"01/06/2023","14.99","15.55","15.55","14.71","0.47K","-3.61%"
"31/05/2023","15.55","16.77","16.77","15.17","4.82K","-7.78%"
"30/05/2023","16.86","17.33","17.52","16.77","0.75K","-9.55%"
"29/05/2023","18.64","18.17","19.48","16.67","1.66K","2.58%"
"26/05/2023","18.17","17.14","18.36","17.14","2.71K","11.49%"
"25/05/2023","16.30","14.24","17.14","14.14","11.56K","-17.14%"
"24/05/2023","19.67","20.98","20.98","18.73","2.99K","-8.70%"
"23/05/2023","21.54","22.67","22.67","20.61","4.31K","-6.50%"
"22/05/2023","23.04","23.23","23.23","22.67","0.22K","-3.15%"
"19/05/2023","23.79","21.73","23.79","21.73","1.24K","10.43%"
"18/05/2023","21.54","21.17","21.54","21.17","0.32K","1.77%"
"17/05/2023","21.17","22.48","22.48","20.42","3.60K","-6.61%"
"16/05/2023","22.67","22.11","23.42","22.11","2.73K","-7.63%"
"15/05/2023","24.54","24.92","24.92","24.54","0.08K","-1.50%"
"12/05/2023","24.92","26.41","26.41","24.92","0.53K","-5.67%"
"11/05/2023","26.41","26.79","26.79","26.23","0.25K","-2.08%"
"10/05/2023","26.98","25.29","28.29","25.29","1.57K","8.27%"
"09/05/2023","24.92","26.41","28.66","24.54","2.69K","-8.28%"
"08/05/2023","27.16","29.41","29.41","27.16","1.27K","-9.38%"
"05/05/2023","29.97","30.54","30.72","29.97","0.17K","0.00%"
"04/05/2023","29.97","30.35","30.54","29.97","0.64K","-0.62%"
"02/05/2023","30.16","29.22","31.85","29.22","3.97K","-5.29%"
"27/04/2023","31.85","31.85","32.03","31.85","0.90K","-0.58%"
"26/04/2023","32.03","31.85","32.03","31.85","0.02K","0.59%"
"25/04/2023","31.85","31.85","31.85","31.85","0.01K","0.00%"
"24/04/2023","31.85","31.85","31.85","31.85","0.01K","0.00%"
"21/04/2023","31.85","32.78","32.78","31.85","0.07K","-2.86%"
"20/04/2023","32.78","32.78","32.78","32.78","0.34K","-0.57%"
"19/04/2023","32.97","33.06","33.06","32.78","0.60K","-0.28%"
"18/04/2023","33.06","33.25","33.25","33.06","0.07K","-1.94%"
"17/04/2023","33.72","33.72","33.72","33.72","0.02K","0.84%"
"14/04/2023","33.44","32.97","33.44","32.88","0.37K","1.42%"
"13/04/2023","32.97","33.72","33.72","32.97","0.10K","-2.22%"
"12/04/2023","33.72","33.72","33.72","33.72","0.01K","0.00%"
"11/04/2023","33.72","32.97","33.72","32.97","0.10K","2.27%"
"06/04/2023","32.97","34.19","34.19","32.97","0.38K","-1.12%"
"05/04/2023","33.35","34.75","34.75","32.97","0.46K","-4.04%"
"04/04/2023","34.75","34.75","34.75","34.75","0.00K","0.00%"
"03/04/2023","34.75","32.97","35.03","32.97","0.42K","-0.80%"
"31/03/2023","35.03","34.84","35.03","34.38","0.14K","-0.53%"
"30/03/2023","35.22","36.16","36.16","34.94","0.43K","-3.09%"
"29/03/2023","36.34","37.19","37.19","36.16","0.25K","-3.00%"
"28/03/2023","37.47","37.47","37.47","37.47","0.00K","0.00%"
"27/03/2023","37.47","37.47","37.47","37.47","0.11K","0.00%"
"24/03/2023","37.47","37.47","37.47","37.47","0.01K","0.50%"
"23/03/2023","37.28","36.90","37.28","36.90","0.11K","2.84%"
"22/03/2023","36.25","37.47","37.47","36.16","0.30K","-3.25%"
"21/03/2023","37.47","37.47","37.47","37.47","0.01K","0.00%"
"20/03/2023","37.47","37.47","37.47","37.47","0.00K","0.00%"
"17/03/2023","37.47","37.47","37.47","37.47","0.11K","0.00%"
"16/03/2023","37.47","37.47","37.47","37.47","0.01K","0.00%"
"15/03/2023","37.47","38.31","38.31","36.90","1.08K","-2.44%"
"14/03/2023","38.40","38.87","38.87","38.12","0.22K","1.49%"
"13/03/2023","37.84","38.40","38.40","37.84","0.31K","-1.46%"
"10/03/2023","38.40","37.84","38.40","37.84","0.36K","1.49%"
"09/03/2023","37.84","37.84","37.84","37.84","0.55K","0.00%"
"08/03/2023","37.84","37.84","37.84","37.84","0.08K","0.00%"
"07/03/2023","37.84","37.47","38.22","37.47","0.90K","1.76%"
"03/03/2023","37.19","37.56","37.56","36.44","0.93K","-1.00%"
"02/03/2023","37.56","37.56","37.56","37.56","0.00K","0.00%"
"01/03/2023","37.56","37.65","38.03","37.37","0.62K","-0.25%"
"28/02/2023","37.65","37.65","37.65","37.65","0.42K","0.50%"
"27/02/2023","37.47","36.81","37.47","36.81","0.12K","2.04%"
"24/02/2023","36.72","37.28","37.28","36.72","0.01K","-1.51%"
"23/02/2023","37.28","37.47","37.47","37.28","0.22K","-2.21%"
"22/02/2023","38.12","38.12","38.12","38.12","0.01K","-1.21%"
"21/02/2023","38.59","38.59","38.59","38.59","0.00K","0.00%"
"20/02/2023","38.59","38.59","38.59","38.59","0.11K","0.00%"
"16/02/2023","38.59","38.59","38.59","38.59","0.10K","1.23%"
"15/02/2023","38.12","38.78","38.78","38.12","0.16K","-1.69%"
"14/02/2023","38.78","38.03","38.87","38.03","0.66K","1.97%"
"13/02/2023","38.03","38.22","38.22","38.03","0.00K","-1.93%"
"10/02/2023","38.78","37.84","40.28","37.84","1.81K","3.50%"
"09/02/2023","37.47","36.62","37.47","36.62","0.08K","2.30%"
"08/02/2023","36.62","38.40","38.40","36.53","0.62K","-5.10%"
"07/02/2023","38.59","40.28","41.21","38.59","0.52K","-4.63%"
"06/02/2023","40.46","41.40","43.65","39.53","1.49K","-2.26%"
"03/02/2023","41.40","40.84","41.40","40.84","0.10K","3.76%"
"02/02/2023","39.90","39.43","40.65","39.43","0.22K","1.43%"
"01/02/2023","39.34","39.34","39.34","39.34","0.36K","0.00%"
"31/01/2023","39.34","38.78","39.71","38.78","0.18K","2.44%"
"30/01/2023","38.40","38.40","38.40","38.40","0.06K","-3.30%"
"27/01/2023","39.71","39.25","39.71","39.25","0.11K","3.41%"
"26/01/2023","38.40","39.34","39.34","38.40","0.01K","-2.38%"
"25/01/2023","39.34","39.53","39.53","39.34","0.03K","0.00%"
"24/01/2023","39.34","39.34","39.34","39.34","0.00K","-0.47%"
"23/01/2023","39.53","39.34","39.53","39.34","0.10K","0.24%"
"20/01/2023","39.43","38.40","40.28","36.81","1.45K","-2.55%"
"19/01/2023","40.46","41.87","41.87","39.90","0.36K","-3.36%"
"18/01/2023","41.87","38.22","41.96","38.22","1.26K","12.31%"
"17/01/2023","37.28","39.15","39.15","37.28","0.41K","-5.24%"
"16/01/2023","39.34","39.81","41.59","39.34","0.24K","-1.18%"
"13/01/2023","39.81","39.71","43.09","39.71","0.56K","1.92%"
"12/01/2023","39.06","39.34","39.34","38.40","0.36K","2.46%"
"11/01/2023","38.12","34.66","40.93","34.66","0.60K","10.00%"
"10/01/2023","34.66","35.03","35.03","34.66","0.05K","-2.37%"
"09/01/2023","35.50","34.94","35.50","34.66","0.25K","1.34%"
