company,ticker,isin,announcement_url,source,t0_announcement,t0_effective
Cognor Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Cognor Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Columbus Energy SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Columbus Energy SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Comp SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Comp SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Creepy Jar SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Creepy Jar SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Creotech Instruments SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Creotech Instruments SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Dadelo SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Dadelo SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
DataWalk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
DataWalk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Decora SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Decora SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Echo Investment SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Echo Investment SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Elektrotim SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Elektrotim SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Enter Air SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Enter Air SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Erbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Erbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Fabryki Mebli Forte SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Fabryki Mebli Forte SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
