company,ticker,isin,announcement_url,announcement_date,join_date,effective_date,snippet,source
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Tauron PE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Tauron PE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Ten Square Games SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Ten Square Games SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Text SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Text SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Vercom SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Vercom SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Voxel SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Voxel SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
WP Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
WP Holding SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
XTB SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
XTB SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
AC SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
AC SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Agora SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Agora SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Ailleron SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Ailleron SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Ambra SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Ambra SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Amica SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Amica SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Apator SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Apator SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Archicom SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Archicom SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Arctic Paper SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Arctic Paper SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
